task,env_seed,interface_seed,condition,return,normalized_return,success,progress,violations,switches,retries,unnecessary_switches,unnecessary_retries,expected_regret,recovery_lag,actions
tools,30002,11,alone,-2.5999999999999996,-0.2407407407407407,False,0,0,0,0,0,0,8.514999999999999,4.0,ACACCC
tools,30000,29,random,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
tools,30001,47,fly_disconnected,1.7000000000000002,0.1574074074074074,False,2,0,0,1,0,1,6.634999999999999,0.5,ACAAAA
tools,30000,11,fly,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
tools,30000,29,alone,-0.5,-0.046296296296296294,False,1,0,0,1,0,1,6.994999999999999,2.0,ACAAAC
tools,30002,47,simple,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
tools,30001,29,rewired,-2.6999999999999997,-0.24999999999999997,False,0,0,0,0,0,0,9.649999999999999,4.0,ACBCAC
tools,30000,47,fly_reset,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
resources,30001,11,rewired,8.57,0.47611111111111115,True,5,0,2,0,0,0,0.0,0.0,ABCBBA
resources,30001,29,fly_reset,8.19,0.45499999999999996,True,5,0,1,0,0,0,0.0,0.0,AACBAA
resources,30001,11,simple,8.57,0.47611111111111115,True,5,0,2,0,0,0,0.0,0.0,ABCBBA
tools,30002,11,fly_reset,-0.6,-0.05555555555555555,False,1,0,0,2,0,2,6.634999999999999,4.0,BBBCAA
tools,30001,11,rewired,-2.6999999999999997,-0.24999999999999997,False,0,0,0,0,0,0,9.649999999999999,4.0,ACBCAC
resources,30001,29,alone,4.989999999999999,0.2772222222222222,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
tools,30002,47,fly_disconnected,-2.5999999999999996,-0.2407407407407407,False,0,0,0,0,0,0,8.514999999999999,4.0,ACACCC
resources,30002,29,alone,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACAB
resources,30002,29,fly_disconnected,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACAB
tools,30002,47,fly_reset,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
