comparison,mean,ci95,task_means
fly minus simple,0.009259259259259257,"[0.0, 0.03703703703703703]","{'resources': 0.0, 'tools': 0.018518518518518514}"
fly minus alone,0.057037037037037074,"[-0.11888888888888888, 0.20283950617283952]","{'resources': 0.06777777777777783, 'tools': 0.04629629629629631}"
fly minus random,0.004938271604938272,"[-0.012962962962962954, 0.03703703703703703]","{'resources': -0.00864197530864197, 'tools': 0.018518518518518514}"
fly minus rewired,0.005092592592592599,"[-0.025925925925925908, 0.03944444444444444]","{'resources': -0.008333333333333316, 'tools': 0.018518518518518514}"
fly minus fly_reset,-0.0056790123456790026,"[-0.06453703703703702, 0.04333333333333335]","{'resources': -0.00827160493827159, 'tools': -0.003086419753086415}"
fly minus fly_disconnected,0.057037037037037074,"[-0.11888888888888888, 0.20283950617283952]","{'resources': 0.06777777777777783, 'tools': 0.04629629629629631}"
